Date,Status,Fulfilment,Ship_Service_Level,Category,Size,Amount,Ship_City,Ship_State,B2B
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,406,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,329,Navi Mumbai,Maharashtra,True
2022-04-30,Shipped,Merchant,Standard,Kurta,S,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,363,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XS,399,Amravati.,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,376,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,4XL,459,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,376,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,424,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,429,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,390,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,L,493,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,353,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,295,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,L,432,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,432,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,316,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,499,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,406,Bangalore,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,318,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,406,Ramagundam,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Top,XL,387,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,348,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,442,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,348,Coimbatore,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,363,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Standard,Kurta,XL,299,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,376,Tiruchirappalli,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Set,L,496,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,6XL,458,Walajapet,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,295,Mumbai,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Top,L,387,Vasai Virar,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,376,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,319,Elavanasurkottai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,368,Sangli Miraj Kupwad,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,375,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Tiruchirappalli,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Top,XS,432,Pune,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Top,XS,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,399,Bangalore,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,XL,487,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,295,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,442,Udupi,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Set,S,499,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,363,Coimbatore,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,486,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Muddebihal,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,459,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,353,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,345,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,329,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Top,XL,339,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,487,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,487,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,362,Chikkamagaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,368,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,376,Chinnalapatti,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,499,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Top,XS,426,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Set,3XL,476,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,S,399,Mahbubnagar,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,353,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,399,Secunderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,363,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,XL,487,Pune,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,L,363,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,S,399,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,406,Bengaluru,Karnataka,False
2022-04-30,Shipped,Merchant,Standard,Kurta,M,399,Khammam,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XS,329,Vellore,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,399,Mangaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Top,L,432,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,353,Thane,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,487,Kalyan,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,352,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,376,Chennai,Tamil Nadu,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,L,435,Hyderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Pune,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Pune,Maharashtra,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XL,399,Chikkaballapur,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,M,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,399,Bengaluru,Karnataka,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,M,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XXL,486,Kadur,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,424,Mumbai,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XXL,362,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Top,XXL,487,Secunderabad,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,L,487,Arakandanallur,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,329,Hyderabad,Telangana,False
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,319,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Merchant,Standard,Top,M,463,Warangal,Telangana,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,3XL,399,Kalyan,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,3XL,471,Bengaluru,Karnataka,False
2022-04-30,Cancelled,Amazon,Expedited,Kurta,XXL,471,Bengaluru,Karnataka,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,329,Nagpur,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Set,S,449,Chennai,Tamil Nadu,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Amazon,Expedited,Kurta,XL,399,Mumbai,Maharashtra,False
2022-04-30,Shipped,Merchant,Standard,Kurta,XXL,364,Thane,Maharashtra,False
